,age,recidivated,number_of_prior_crimes,months_in_jail,felony,misdemeanor,woman,man,black,y
5836,51,0,0,1,1,0,0,1,0,1
2173,31,1,10,1,1,0,0,1,1,1
5550,27,1,5,28,1,0,0,1,1,0
5441,26,0,0,0,1,0,0,1,0,1
4616,28,0,9,36,1,0,0,1,0,0
4461,52,0,0,0,0,1,0,1,0,1
5136,31,1,12,40,0,1,0,1,1,0
661,35,0,4,2,1,0,1,0,1,1
2746,20,1,1,0,1,0,0,1,1,0
5668,56,0,5,0,0,1,0,1,0,1
5211,29,0,0,72,1,0,0,1,1,1
2341,26,1,9,1,0,1,0,1,1,0
3126,37,1,4,0,0,1,0,1,0,1
2986,26,1,0,0,0,1,0,1,1,1
201,28,0,1,6,1,0,0,1,0,1
3812,44,0,1,1,1,0,0,1,0,0
4536,24,1,2,2,1,0,0,1,0,1
3867,30,1,1,132,1,0,0,1,1,1
1162,23,1,0,5,1,0,0,1,1,1
3614,53,0,0,-1,0,1,0,1,0,1
2499,27,0,0,0,1,0,0,1,0,1
810,35,0,2,0,1,0,0,1,0,1
1954,23,0,3,1,1,0,0,1,1,1
1619,58,0,1,60,1,0,0,1,1,1
3974,49,1,4,17,0,1,0,1,0,1
5589,45,1,5,1,1,0,0,1,0,1
5051,43,1,0,1,1,0,1,0,0,1
3811,20,0,0,0,1,0,0,1,1,1
5352,29,1,3,-1,1,0,0,1,1,1
1735,35,0,0,1,1,0,0,1,1,0
834,30,0,3,26,1,0,1,0,1,1
798,24,0,2,1,1,0,0,1,1,1
2006,57,0,0,27,1,0,0,1,0,1
5635,53,0,13,1,0,1,0,1,1,1
141,46,1,6,22,1,0,0,1,0,1
5478,41,1,6,39,1,0,0,1,1,1
2546,33,0,0,6,1,0,0,1,0,1
3879,31,0,0,0,1,0,0,1,1,1
1630,29,0,1,290,1,0,0,1,1,0
1978,38,0,3,1,1,0,0,1,1,1
3348,44,1,1,6,0,1,1,0,0,1
4022,39,0,1,7,1,0,1,0,0,1
558,23,1,2,19,0,1,0,1,0,1
1017,28,1,5,51,1,0,0,1,1,1
1638,35,0,1,1,0,1,0,1,1,1
3248,43,1,8,348,1,0,0,1,1,1
6087,42,1,4,4,1,0,1,0,0,0
4749,27,0,1,31,0,1,0,1,0,1
4254,31,1,1,-1,1,0,0,1,1,0
3738,25,1,2,11,0,1,0,1,0,1
5804,20,1,1,35,1,0,0,1,0,0
385,28,1,1,4,1,0,0,1,0,1
2101,45,0,3,1,0,1,0,1,1,1
3132,58,0,1,3,1,0,0,1,0,1
916,29,0,1,0,0,1,0,1,0,1
5410,26,1,27,10,0,1,0,1,1,0
2183,59,0,0,0,0,1,1,0,1,1
694,33,1,5,5,0,1,0,1,1,0
5752,30,0,14,5,1,0,0,1,1,1
204,25,0,4,1,1,0,0,1,0,1
2037,49,1,10,43,1,0,0,1,1,1
5547,35,0,9,1,1,0,0,1,1,1
5582,50,1,4,0,1,0,0,1,1,1
5313,36,0,1,0,0,1,0,1,0,1
2700,50,1,3,25,0,1,0,1,0,1
3372,54,0,0,27,1,0,0,1,0,1
5143,21,0,0,0,1,0,0,1,1,1
3041,48,0,4,1,1,0,0,1,1,1
3981,32,0,9,111,1,0,0,1,1,0
1279,56,0,1,2,0,1,0,1,0,1
1333,32,1,2,0,0,1,0,1,0,1
826,52,1,6,1,0,1,0,1,1,1
1263,26,1,0,0,0,1,0,1,0,1
5158,34,0,1,1,0,1,1,0,1,1
6018,36,0,1,0,0,1,1,0,1,1
738,31,1,25,117,0,1,0,1,1,0
5005,52,0,0,0,0,1,0,1,0,1
921,49,1,1,19,1,0,0,1,1,1
4116,25,1,0,-1,0,1,0,1,1,1
3945,26,1,6,4,1,0,0,1,1,0
88,24,1,8,12,1,0,0,1,0,1
866,24,0,3,1,0,1,0,1,0,1
2592,32,1,12,1,0,1,0,1,1,0
582,36,0,4,2,0,1,0,1,1,1
4306,43,0,0,0,0,1,0,1,1,1
3809,23,1,0,0,1,0,0,1,1,1
584,53,0,2,0,1,0,0,1,0,1
3711,28,1,1,0,0,1,1,0,0,1
2370,23,1,0,0,1,0,0,1,0,1
5714,31,1,9,0,1,0,0,1,1,0
2118,38,0,0,7,1,0,0,1,0,1
5808,35,1,0,0,0,1,0,1,0,1
1252,21,1,0,0,1,0,1,0,0,1
814,54,0,0,1,1,0,0,1,1,1
2216,59,1,14,33,1,0,0,1,1,0
5146,43,1,1,0,0,1,0,1,0,1
1406,24,0,1,0,1,0,1,0,1,1
1666,50,0,0,2,1,0,0,1,1,1
4379,33,1,7,0,1,0,0,1,1,1
4390,37,1,2,0,1,0,0,1,1,1
4551,34,1,5,3,0,1,0,1,1,1
2072,39,0,1,0,1,0,1,0,1,1
5697,28,0,0,5,0,1,0,1,1,1
363,33,0,0,1,1,0,0,1,0,1
4472,33,0,0,0,0,1,0,1,0,1
963,24,0,0,1,1,0,1,0,1,1
640,26,1,4,83,1,0,0,1,1,1
4020,26,1,2,0,1,0,0,1,1,0
4597,27,0,1,0,1,0,0,1,1,1
4962,26,0,5,0,1,0,0,1,0,1
577,23,1,2,80,0,1,0,1,1,0
2283,26,0,0,0,0,1,0,1,0,1
4730,44,0,0,4,1,0,0,1,0,1
3030,43,1,3,1,0,1,1,0,0,1
683,33,0,0,1,0,1,1,0,1,1
5376,23,0,0,25,1,0,1,0,1,1
1286,22,1,0,0,1,0,0,1,0,1
604,22,0,1,0,1,0,0,1,1,1
4104,30,0,0,0,1,0,0,1,0,1
3218,30,0,6,0,0,1,0,1,0,1
2367,51,1,9,35,1,0,0,1,1,0
5699,29,1,8,6,1,0,0,1,1,0
955,35,1,5,1,1,0,0,1,1,1
4571,50,1,1,1,1,0,1,0,0,1
795,33,0,1,0,0,1,1,0,0,1
1992,27,1,8,1,1,0,0,1,1,1
5823,34,0,1,0,1,0,0,1,0,1
5936,40,1,8,0,0,1,0,1,1,1
4232,37,1,2,1,1,0,0,1,0,1
1591,38,1,1,0,1,0,0,1,0,1
4034,27,1,0,47,1,0,0,1,0,0
5784,20,1,0,0,1,0,0,1,1,1
1402,35,1,23,1,1,0,0,1,1,0
1649,24,0,6,310,0,1,1,0,1,1
1754,32,0,0,1,1,0,0,1,0,1
3504,29,0,0,1,1,0,1,0,1,0
121,43,0,0,0,0,1,1,0,0,1
1879,41,1,0,1,1,0,0,1,0,1
5957,44,0,6,2,1,0,1,0,1,1
5597,21,1,1,0,1,0,0,1,1,1
2733,23,1,7,1,1,0,0,1,1,0
5333,24,1,0,15,0,1,0,1,1,0
1176,36,0,0,1,1,0,0,1,1,0
3056,22,0,0,1,1,0,0,1,1,1
1237,24,1,12,36,0,1,0,1,1,0
2987,52,0,8,39,1,0,0,1,0,1
1857,26,1,3,33,1,0,0,1,1,0
3399,48,0,7,0,1,0,0,1,0,1
6150,24,1,2,33,0,1,0,1,1,1
727,48,0,1,0,1,0,0,1,0,1
5443,23,1,1,3,1,0,0,1,1,1
1533,26,1,9,2,1,0,0,1,1,0
3516,32,0,0,19,0,1,0,1,0,1
1193,21,1,1,1,0,1,1,0,1,1
4611,47,1,2,1,1,0,0,1,0,1
1202,21,0,1,0,1,0,0,1,1,0
2311,20,1,0,1,0,1,0,1,1,1
1543,31,0,0,4,0,1,1,0,0,0
4573,34,0,1,23,1,0,0,1,1,1
1387,32,1,6,8,1,0,1,0,0,1
6044,66,0,0,1,0,1,0,1,0,1
2667,31,1,1,0,1,0,0,1,0,1
1746,24,1,1,0,0,1,0,1,1,1
744,52,0,0,2,1,0,1,0,1,1
2378,25,0,0,0,0,1,0,1,0,1
3364,30,0,0,0,1,0,0,1,0,1
6034,47,0,0,1,0,1,0,1,1,1
377,24,0,0,0,0,1,0,1,0,1
3107,51,1,0,30,0,1,0,1,1,1
1561,28,0,1,15,1,0,0,1,1,1
207,32,0,14,1,1,0,0,1,1,0
909,47,1,1,0,1,0,0,1,0,1
1928,44,1,0,1,1,0,0,1,0,1
3307,26,1,4,0,1,0,0,1,1,0
6096,24,0,1,3,1,0,1,0,0,1
2126,44,0,7,24,1,0,0,1,1,1
1019,28,1,7,1,1,0,0,1,1,1
4483,45,1,21,1,1,0,0,1,0,1
2718,32,0,3,30,1,0,1,0,1,1
4470,62,1,1,0,0,1,1,0,0,1
4863,53,0,5,2,0,1,0,1,1,1
4844,38,0,1,0,1,0,0,1,0,1
5020,27,0,0,1,0,1,0,1,1,1
2898,23,1,0,4,0,1,0,1,0,0
2767,32,1,10,3,1,0,0,1,1,1
3908,25,1,5,49,1,0,0,1,1,1
6016,35,1,5,7,1,0,1,0,1,1
777,39,1,6,35,0,1,0,1,1,1
5187,39,0,3,0,1,0,0,1,0,1
4862,32,1,0,4,1,0,0,1,0,1
1902,52,0,2,3,1,0,0,1,1,1
1364,32,0,1,15,1,0,0,1,0,1
213,37,0,0,1,0,1,1,0,0,1
562,53,0,1,1,0,1,0,1,0,1
2389,21,0,0,0,0,1,0,1,0,1
5433,37,0,2,169,1,0,0,1,1,0
4199,36,1,4,2,1,0,0,1,1,1
5762,41,0,1,1,0,1,0,1,1,1
1125,43,0,2,1,1,0,0,1,0,1
4095,50,0,0,0,0,1,0,1,0,1
2106,22,1,0,0,0,1,0,1,0,1
5667,20,1,0,0,0,1,1,0,0,1
3687,21,1,1,456,1,0,0,1,1,0
5734,47,1,5,0,0,1,0,1,0,1
1557,41,0,9,32,0,1,0,1,0,1
4832,27,1,7,2,1,0,0,1,1,1
129,26,0,0,0,0,1,1,0,0,1
3560,37,1,12,0,1,0,0,1,1,0
4826,22,0,0,1,1,0,1,0,1,1
2931,44,1,0,2,0,1,0,1,0,1
5894,42,0,0,1,1,0,1,0,0,1
3358,39,0,6,0,1,0,0,1,0,1
5999,31,1,9,1,0,1,0,1,0,0
3621,58,1,4,0,1,0,0,1,0,1
1160,28,1,2,1,1,0,0,1,1,1
5939,25,1,2,1,1,0,0,1,0,1
2068,21,1,1,1,1,0,0,1,1,1
3185,40,1,0,0,0,1,0,1,0,1
4016,35,0,1,0,1,0,0,1,0,1
4387,33,1,3,11,1,0,0,1,1,1
2638,23,1,2,22,1,0,0,1,1,1
2475,26,1,9,1,0,1,0,1,0,1
1737,41,1,2,161,1,0,0,1,0,0
3149,39,0,0,3,1,0,0,1,0,1
3230,32,0,1,0,0,1,1,0,1,1
4550,28,0,0,1,0,1,0,1,0,1
2151,56,0,1,1,1,0,0,1,0,1
862,60,0,1,0,1,0,0,1,0,1
1547,21,1,3,4,1,0,0,1,1,1
904,22,1,5,19,1,0,0,1,1,0
5002,32,0,0,2,1,0,0,1,1,1
4538,23,1,2,1,1,0,0,1,1,0
2614,63,0,6,24,1,0,0,1,1,1
5325,22,0,1,8,0,1,0,1,0,1
642,21,1,1,0,1,0,0,1,0,1
4361,25,1,2,0,0,1,0,1,0,1
2709,30,1,14,22,1,0,0,1,1,1
186,48,0,0,1,1,0,0,1,1,1
265,20,1,0,0,1,0,0,1,1,0
4338,34,1,8,4,1,0,0,1,1,1
982,21,0,0,4,1,0,0,1,0,1
748,42,0,3,0,1,0,0,1,0,1
2864,22,1,0,6,1,0,0,1,0,1
5026,41,0,0,3,1,0,0,1,1,1
1693,42,0,2,0,1,0,0,1,1,1
4874,40,0,5,0,1,0,0,1,0,1
4180,24,0,0,0,0,1,1,0,1,1
1302,24,1,2,14,0,1,1,0,1,1
3514,34,1,0,62,1,0,1,0,0,1
2675,33,0,9,0,1,0,0,1,0,1
3008,38,0,3,0,1,0,1,0,0,1
4402,23,1,2,7,1,0,0,1,1,0
2530,27,0,0,0,1,0,1,0,0,1
3938,36,1,5,0,1,0,0,1,0,1
809,33,1,7,78,1,0,0,1,1,1
3066,24,1,7,68,1,0,0,1,1,0
5238,50,1,3,33,1,0,0,1,0,0
2908,29,0,0,0,1,0,0,1,0,1
819,30,0,1,7,0,1,0,1,0,1
4931,38,0,3,1,0,1,0,1,0,1
1440,34,1,1,12,1,0,1,0,0,1
1912,28,0,3,1,1,0,0,1,0,1
5644,36,0,1,1,0,1,1,0,0,1
4575,21,0,0,0,1,0,0,1,0,1
2630,52,1,3,31,0,1,0,1,1,1
3456,27,0,5,2,0,1,0,1,0,1
3442,37,0,4,0,0,1,0,1,0,1
3635,29,0,0,0,1,0,0,1,0,1
5535,29,1,1,0,0,1,0,1,1,1
1623,24,0,3,6,0,1,0,1,1,1
1420,45,0,1,-1,1,0,0,1,0,1
499,31,0,1,0,1,0,0,1,0,1
1778,51,0,2,1,1,0,0,1,0,1
4707,66,0,2,56,0,1,0,1,0,1
1888,21,0,1,12,1,0,0,1,0,0
4723,40,0,2,1,1,0,0,1,1,1
4458,28,0,0,2,0,1,0,1,0,1
5663,22,1,2,6,1,0,0,1,1,0
2855,35,0,2,0,0,1,0,1,1,1
112,28,1,0,0,0,1,0,1,0,1
4010,33,1,6,1,0,1,0,1,1,1
2553,31,1,9,116,1,0,0,1,0,0
4242,20,0,0,1,0,1,1,0,0,1
1260,25,1,5,14,0,1,0,1,0,0
3281,29,0,0,0,0,1,0,1,0,1
1698,31,0,5,3,1,0,0,1,0,1
1395,31,1,7,1,1,0,1,0,1,1
3479,22,1,0,0,1,0,0,1,1,1
3209,43,1,0,1,1,0,0,1,1,1
4560,21,0,1,0,1,0,0,1,0,1
4120,22,1,1,0,1,0,0,1,1,1
5347,26,1,5,-1,1,0,0,1,0,0
5274,46,0,0,0,1,0,0,1,0,1
2890,52,0,1,0,1,0,0,1,0,1
2238,41,0,1,2,1,0,0,1,1,1
2176,50,1,2,0,0,1,0,1,0,1
5892,29,1,8,1,0,1,0,1,1,0
2399,38,0,0,1,0,1,0,1,0,1
4484,37,0,13,1,1,0,0,1,0,1
40,25,1,9,6,0,1,0,1,0,0
1268,37,1,12,0,0,1,0,1,1,0
1826,37,1,11,0,1,0,0,1,0,0
521,51,0,0,0,0,1,0,1,0,1
3463,45,0,7,1,1,0,0,1,0,1
5495,27,1,2,0,1,0,0,1,1,1
1146,43,1,4,2,1,0,0,1,0,1
4215,44,0,0,1,0,1,0,1,0,1
5007,38,0,5,5,0,1,0,1,1,1
4866,21,1,2,1,1,0,0,1,0,1
1112,27,1,4,1,1,0,0,1,1,1
3679,25,1,0,20,1,0,0,1,0,1
2420,41,0,0,1,1,0,0,1,0,1
6059,54,1,10,0,1,0,0,1,1,1
4600,53,1,3,197,1,0,0,1,0,1
4643,29,0,0,1,0,1,0,1,1,1
3077,30,0,1,2,0,1,0,1,1,1
874,27,0,1,6,1,0,0,1,1,1
6131,28,1,0,1,0,1,0,1,0,1
5780,53,0,0,0,0,1,0,1,0,1
5086,20,1,3,-1,1,0,0,1,1,0
5243,61,1,8,0,1,0,0,1,1,1
2289,24,1,0,36,1,0,0,1,0,1
4667,56,0,0,0,0,1,1,0,0,1
5593,20,1,0,0,1,0,0,1,1,0
2696,25,1,1,0,0,1,0,1,0,1
3737,29,1,0,1,0,1,0,1,1,1
5039,26,0,2,0,1,0,0,1,1,1
275,36,0,0,12,1,0,1,0,1,1
1884,40,0,0,1,1,0,1,0,0,1
338,32,0,3,1,1,0,0,1,1,1
3569,28,0,2,125,1,0,0,1,1,1
5802,26,0,1,3,1,0,1,0,0,0
3315,52,1,4,1,0,1,0,1,0,1
1837,31,0,6,1,0,1,0,1,0,1
2929,50,1,9,28,0,1,0,1,0,1
6031,22,1,0,0,1,0,0,1,0,1
2057,47,1,0,4,0,1,1,0,0,1
1142,66,0,0,1,0,1,0,1,0,1
1998,46,0,4,2,1,0,0,1,0,1
4289,21,0,4,60,1,0,0,1,1,0
5159,35,1,0,1,1,0,0,1,0,1
2295,24,1,3,8,0,1,0,1,0,0
1996,42,0,1,0,1,0,0,1,1,1
6073,27,1,0,5,0,1,0,1,1,1
3989,25,0,2,64,0,1,0,1,0,1
4300,33,0,1,3,1,0,0,1,0,1
3406,27,1,4,50,1,0,0,1,1,1
4870,31,0,2,117,0,1,1,0,0,1
3750,33,0,0,5,1,0,0,1,0,1
3688,21,0,0,0,1,0,0,1,1,1
801,25,0,1,1,1,0,0,1,0,1
4865,26,1,1,2,1,0,0,1,0,1
1277,55,1,13,0,1,0,0,1,0,1
4164,36,0,0,0,1,0,0,1,1,1
6164,21,1,0,3,0,1,0,1,0,1
1558,25,0,1,0,0,1,0,1,1,1
4713,38,1,7,1,1,0,0,1,0,1
2963,50,0,0,0,1,0,0,1,0,1
2124,36,1,1,2,1,0,0,1,0,1
3763,34,0,0,108,1,0,0,1,0,1
1396,22,1,0,1,0,1,0,1,0,1
537,38,0,0,1,1,0,0,1,1,1
2500,30,1,0,0,0,1,0,1,1,1
3373,33,1,2,28,1,0,0,1,1,0
1764,39,0,0,18,0,1,0,1,0,1
4935,74,0,0,0,0,1,1,0,0,1
6111,31,0,1,117,0,1,0,1,0,1
5584,25,0,0,0,0,1,1,0,1,1
5255,31,1,1,36,1,0,0,1,0,1
2219,50,1,2,0,1,0,1,0,0,1
5073,36,0,0,0,0,1,0,1,0,1
839,21,1,0,0,1,0,0,1,1,0
1380,50,0,0,0,0,1,0,1,0,1
1343,25,0,6,1,1,0,0,1,0,1
3210,45,0,0,1,0,1,1,0,0,1
5609,29,1,9,4,1,0,0,1,1,1
242,21,1,0,1,0,1,0,1,1,0
2693,37,0,1,3,1,0,0,1,1,0
1167,20,1,2,2,1,0,0,1,1,0
2645,23,0,0,2,1,0,0,1,1,1
5579,31,0,0,0,1,0,0,1,0,1
3746,39,1,10,1,1,0,0,1,0,0
4163,52,1,0,4,1,0,0,1,1,1
1426,49,0,8,8,1,0,1,0,0,1
3609,39,1,13,1,1,0,0,1,1,0
1221,30,0,2,1,0,1,0,1,1,1
2847,25,0,0,7,0,1,0,1,1,1
3323,24,1,3,1,1,0,0,1,1,1
2002,54,1,1,1,0,1,0,1,0,1
1691,35,0,4,29,0,1,0,1,1,1
399,20,1,1,2,1,0,0,1,1,0
5866,34,0,0,1,1,0,1,0,0,1
289,37,0,0,19,1,0,0,1,0,1
793,47,0,0,1,0,1,0,1,0,1
3241,35,1,1,4,0,1,0,1,0,1
2187,25,1,5,0,0,1,0,1,1,1
1803,29,1,12,5,1,0,0,1,1,0
1804,41,0,0,-1,0,1,0,1,0,1
2353,36,1,10,32,1,0,0,1,1,0
1190,22,1,3,26,1,0,0,1,1,0
2779,58,1,10,1,1,0,0,1,1,1
2055,50,0,1,0,1,0,0,1,1,1
2150,28,0,5,136,1,0,0,1,1,0
946,32,0,1,2,1,0,1,0,0,1
5252,34,0,4,0,1,0,0,1,0,1
1667,57,1,8,99,1,0,0,1,1,1
6047,45,0,9,75,0,1,1,0,1,1
3408,31,1,15,4,0,1,0,1,1,0
617,45,1,0,2,1,0,0,1,1,1
1182,37,1,0,1,1,0,0,1,0,1
750,33,1,4,1,1,0,0,1,0,1
541,58,1,4,1,1,0,1,0,1,1
1896,32,1,0,22,1,0,0,1,0,1
6171,23,1,2,1,1,0,1,0,0,1
595,40,0,1,1,1,0,0,1,0,1
3589,22,0,2,2,1,0,1,0,1,0
2136,26,1,1,22,1,0,0,1,1,1
2083,41,0,0,0,1,0,1,0,0,1
1838,29,1,3,1,1,0,0,1,1,1
5926,41,1,1,1,1,0,0,1,0,1
5385,38,1,10,-1,1,0,0,1,0,1
1344,48,0,1,1,0,1,0,1,0,1
380,20,1,0,22,1,0,0,1,0,0
5519,53,0,3,2,1,0,1,0,1,1
5613,24,0,0,0,1,0,1,0,1,1
5021,48,0,0,9,0,1,1,0,1,1
368,24,0,0,0,1,0,1,0,0,1
3114,59,0,1,0,0,1,0,1,0,1
4374,41,0,2,0,1,0,0,1,1,1
2069,46,1,5,-1,1,0,0,1,0,0
5976,20,0,0,0,1,0,0,1,1,1
6000,49,1,3,34,1,0,0,1,0,0
2404,28,1,14,20,0,1,0,1,1,1
1460,25,0,9,2,1,0,0,1,1,1
4350,51,0,1,1,0,1,1,0,0,1
2750,21,1,0,6,1,0,0,1,1,0
2171,41,0,0,0,0,1,0,1,0,1
4395,42,1,4,0,0,1,1,0,0,1
1606,36,0,0,1,0,1,0,1,0,1
4156,21,1,3,0,1,0,0,1,1,1
3445,31,0,6,41,1,0,0,1,1,1
5283,32,1,1,21,0,1,0,1,1,1
5719,29,0,0,1,1,0,0,1,1,1
5475,19,1,1,2,1,0,1,0,1,1
5429,35,0,2,-1,1,0,0,1,1,1
1228,32,0,3,86,1,0,0,1,0,1
1128,22,0,6,1,1,0,0,1,1,0
5753,27,1,2,0,1,0,0,1,1,0
4539,58,0,0,0,0,1,1,0,0,1
6056,25,1,3,172,0,1,0,1,0,0
199,28,0,1,3,1,0,0,1,0,1
35,21,0,2,79,1,0,1,0,1,0
277,23,0,1,0,0,1,1,0,0,1
79,21,1,1,3,1,0,0,1,0,1
1445,35,0,4,13,1,0,1,0,0,1
5964,54,0,7,0,1,0,0,1,0,1
2154,22,1,2,1,1,0,0,1,1,1
1553,37,0,3,0,0,1,0,1,0,1
4906,27,0,8,3,1,0,1,0,1,1
4754,22,1,1,17,1,0,0,1,0,1
1527,25,1,4,43,1,0,0,1,1,1
2713,27,1,4,0,1,0,1,0,1,1
6114,30,0,2,63,1,0,0,1,0,1
386,55,1,5,118,1,0,0,1,1,1
1504,47,0,0,1,0,1,0,1,0,1
3145,39,0,1,1,1,0,0,1,0,1
3875,23,0,1,35,1,0,0,1,1,1
1461,51,0,1,162,1,0,0,1,1,1
4049,37,0,1,1,1,0,0,1,0,1
2203,37,0,0,1,0,1,0,1,0,1
5950,21,1,0,2,0,1,1,0,0,1
646,27,0,3,0,0,1,0,1,0,1
2806,40,0,5,55,1,0,1,0,0,0
2098,41,1,18,33,0,1,0,1,1,0
498,31,0,0,0,0,1,0,1,0,1
5838,26,1,2,19,1,0,0,1,0,1
3553,54,1,3,2,1,0,0,1,1,1
1590,46,1,10,73,1,0,0,1,0,1
954,43,1,9,0,1,0,0,1,1,1
4808,30,1,13,474,1,0,0,1,1,0
1599,37,1,11,1,1,0,0,1,0,0
5074,69,0,0,0,1,0,0,1,0,1
3523,35,0,1,1,0,1,0,1,1,1
3381,37,1,4,82,0,1,0,1,0,1
4696,25,1,1,0,0,1,1,0,0,1
2776,38,0,2,1,0,1,0,1,0,1
5161,24,1,1,0,1,0,0,1,1,1
