,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,y
40,1,23.17,0.0,2,13,4,0.085,1,0,0,0,2,0,1,1
211,1,54.42,0.5,1,4,8,3.96,1,0,0,0,2,180,315,1
389,0,28.17,0.375,2,11,4,0.585,1,1,4,0,2,80,1,1
390,1,73.42,17.75,2,1,1,0.0,1,0,0,1,2,0,1,1
271,1,23.25,1.0,2,8,4,0.835,1,0,0,0,1,300,1,1
306,0,19.58,0.665,2,9,4,1.665,0,0,0,0,2,220,6,0
122,0,38.75,1.5,2,1,1,0.0,0,0,0,0,2,76,1,0
17,0,18.92,9.0,2,6,4,0.75,1,1,2,0,2,88,592,1
392,0,27.17,1.25,2,1,1,0.0,0,1,1,0,2,92,301,0
408,1,53.92,9.625,2,10,4,8.665,1,1,5,0,2,0,1,1
561,1,43.25,3.0,2,11,8,6.0,1,1,11,0,2,80,1,1
504,1,13.75,4.0,1,9,4,1.75,1,1,2,1,2,120,1001,1
142,1,18.83,3.54,1,1,1,0.0,0,0,0,1,2,180,2,0
193,1,34.58,0.0,2,8,4,0.0,0,0,0,0,3,184,1,0
487,1,55.92,11.5,2,1,1,5.0,1,1,5,0,2,0,8852,1
519,0,27.33,1.665,2,1,1,0.0,0,0,0,0,2,340,2,0
239,1,48.33,12.0,2,7,4,16.0,1,0,0,0,1,110,1,1
279,1,48.25,25.085,2,9,4,1.75,1,1,3,0,2,120,15,1
45,0,20.75,10.25,2,11,4,0.71,1,1,2,1,2,49,1,1
294,1,34.25,3.0,2,13,8,7.415,1,0,0,1,2,0,1,1
62,1,18.5,2.0,2,3,4,1.5,1,1,2,0,2,120,301,1
638,1,26.75,2.0,2,2,4,0.75,0,0,0,1,2,80,1,0
479,1,31.57,5.0,1,6,4,8.5,1,0,0,0,2,0,1,0
454,0,22.5,11.0,1,11,4,3.0,1,0,0,1,2,268,1,0
334,0,42.25,1.75,1,8,4,0.0,0,0,0,1,2,150,2,0
474,1,33.58,0.335,1,13,4,0.085,0,0,0,0,2,180,1,0
127,1,28.92,0.375,2,8,4,0.29,0,0,0,0,2,220,141,0
391,1,22.5,11.5,1,7,4,1.5,0,0,0,1,2,0,4001,0
21,0,19.17,0.585,1,6,4,0.585,1,0,0,1,2,160,1,0
549,1,44.25,11.0,1,2,4,1.5,1,0,0,0,1,0,1,0
339,1,27.25,0.625,2,6,4,0.455,1,0,0,1,2,200,1,0
35,1,74.83,19.0,1,1,1,0.04,0,1,2,0,2,0,352,0
397,0,22.92,1.25,2,11,4,0.25,0,0,0,1,2,120,810,0
77,1,29.83,3.5,2,8,4,0.165,0,0,0,0,2,216,1,0
427,1,37.5,1.75,1,8,5,0.25,1,0,0,1,2,164,401,0
214,0,26.58,2.54,1,1,1,0.0,0,0,0,1,2,180,61,0
518,1,26.67,4.25,2,13,4,4.29,1,1,1,1,2,120,1,1
251,1,24.5,13.335,1,6,4,0.04,0,0,0,1,2,120,476,0
101,1,38.67,0.21,2,4,4,0.085,1,0,0,1,2,280,1,1
268,1,35.0,2.5,2,3,4,1.0,0,0,0,1,2,210,1,0
688,0,27.42,14.5,2,14,8,3.085,1,1,1,0,2,120,12,1
170,0,27.67,1.5,2,7,4,2.0,1,0,0,0,1,368,1,0
157,1,37.5,0.835,2,10,4,0.04,0,0,0,0,2,120,6,0
656,1,33.17,3.165,1,14,4,3.165,1,1,3,1,2,380,1,1
440,1,41.75,0.96,2,14,4,2.5,1,0,0,0,2,510,601,1
484,1,42.83,4.625,2,11,4,4.58,1,0,0,0,1,0,1,1
363,0,19.58,0.665,1,8,4,1.0,0,1,1,0,2,2000,3,0
681,1,35.25,16.5,1,8,4,4.0,1,0,0,0,2,80,1,0
215,0,33.08,4.625,2,11,8,1.625,1,1,2,0,2,0,1,1
285,1,25.08,1.71,2,14,4,1.665,1,1,1,1,2,395,21,1
34,1,42.83,1.25,2,7,4,13.875,0,1,1,1,2,352,113,0
491,1,30.17,6.5,2,13,4,3.125,1,1,8,0,2,330,1201,1
595,1,22.0,7.835,1,3,5,0.165,0,0,0,1,2,184,1,0
614,1,41.92,0.42,2,8,8,0.21,1,1,6,0,2,220,949,1
155,1,19.17,0.0,1,7,5,0.0,0,0,0,1,1,500,2,1
509,1,29.17,3.5,2,9,4,3.5,1,1,3,1,2,329,1,0
547,1,22.92,0.17,2,7,4,0.085,0,0,0,0,1,0,1,0
319,0,24.5,12.75,2,8,5,4.75,1,1,2,0,2,73,445,1
462,1,20.42,1.085,2,11,4,1.5,0,0,0,0,2,108,8,0
478,0,60.58,16.5,2,11,4,11.0,1,0,0,1,2,21,10562,1
12,1,20.67,1.25,1,8,8,1.375,1,1,3,1,2,140,211,0
