,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,y
407,0,33.25,3.0,1,6,4,2.0,0,0,0,0,2,180,1,0
33,1,23.08,11.5,2,9,8,2.125,1,1,11,1,2,290,285,1
330,0,60.92,5.0,2,6,4,4.0,1,1,4,0,2,0,100,1
477,0,20.83,8.5,2,8,4,0.165,0,0,0,0,2,0,352,0
314,1,21.83,0.25,2,2,8,0.665,1,0,0,1,2,0,1,1
313,0,19.67,0.21,2,11,8,0.29,1,1,11,0,2,80,100,1
246,0,16.0,0.165,2,6,4,1.0,0,1,2,1,2,320,2,0
526,1,32.67,9.0,1,9,8,5.25,1,0,0,1,2,154,1,1
344,1,22.67,0.165,2,8,3,2.25,0,0,0,1,1,0,1,1
390,1,73.42,17.75,2,1,1,0.0,1,0,0,1,2,0,1,1
173,1,62.5,12.75,1,8,8,5.0,1,0,0,0,2,112,1,0
587,0,38.25,6.0,2,4,4,1.0,1,0,0,1,2,0,1,1
292,1,24.83,2.75,2,8,4,2.25,1,1,6,0,2,184,601,1
308,0,22.67,0.75,2,8,4,2.0,0,1,2,1,2,200,395,0
149,0,47.42,8.0,2,10,5,6.5,1,1,6,0,2,375,51101,1
116,0,20.75,10.335,2,13,8,0.335,1,1,1,1,2,80,51,1
282,1,44.25,0.5,2,7,4,10.75,1,0,0,0,1,400,1,0
0,1,22.08,11.46,2,4,4,1.585,0,0,0,1,2,100,1213,0
163,1,34.5,4.04,1,3,5,8.5,1,1,7,1,2,195,1,1
58,1,42.5,4.915,1,9,4,3.165,1,0,0,1,2,52,1443,1
74,1,40.25,21.5,2,10,9,20.0,1,1,11,0,2,0,1201,1
624,1,28.33,5.0,2,9,4,11.0,1,0,0,1,2,70,1,1
130,0,24.75,12.5,2,6,4,1.5,1,1,12,1,2,120,568,1
536,1,33.75,2.75,2,3,5,0.0,0,0,0,0,2,180,1,0
630,1,32.0,1.75,1,10,8,0.04,1,0,0,1,2,393,1,1
485,1,26.67,1.75,1,8,4,1.0,1,1,5,1,2,160,5778,1
520,1,42.08,1.04,2,9,4,5.0,1,1,6,1,2,500,10001,1
27,1,33.17,3.04,1,8,8,2.04,1,1,1,1,2,180,18028,1
16,1,29.58,4.5,2,9,4,7.5,1,1,2,1,2,330,1,1
22,1,41.17,1.335,2,2,4,0.165,0,0,0,0,2,168,1,0
335,1,23.58,0.835,2,3,8,0.085,0,0,0,1,2,220,6,0
175,1,35.25,3.165,2,14,8,3.75,1,0,0,1,2,680,1,0
355,1,31.08,3.085,2,8,4,2.5,0,1,2,1,2,160,42,0
200,0,20.33,10.0,2,8,8,1.0,1,1,4,0,2,50,1466,1
659,1,23.92,0.665,2,8,4,0.165,0,0,0,0,2,100,1,1
125,1,22.0,0.79,2,9,4,0.29,0,1,1,0,2,420,284,0
208,1,29.42,1.25,2,8,8,0.25,0,1,2,1,2,400,109,0
515,0,31.57,3.5,2,2,4,3.0,1,0,0,1,2,300,1,0
441,1,36.67,2.0,2,3,4,0.25,0,0,0,1,2,221,1,0
63,0,40.83,3.5,2,3,5,0.5,0,0,0,0,1,1160,1,0
397,0,22.92,1.25,2,11,4,0.25,0,0,0,1,2,120,810,0
318,0,15.75,0.375,2,8,4,1.0,0,0,0,0,2,120,19,0
461,0,17.58,9.0,2,6,4,1.375,1,0,0,1,2,0,1,1
532,1,34.67,1.08,2,7,4,1.165,0,0,0,0,1,28,1,0
438,1,30.17,0.5,2,8,4,1.75,1,1,11,0,2,32,541,1
499,1,20.42,7.0,2,8,4,1.625,1,1,3,0,2,200,1392,1
402,1,19.33,10.915,2,8,5,0.585,0,1,2,1,2,200,8,0
204,0,24.75,3.0,2,11,8,1.835,1,1,19,0,2,0,501,1
489,1,39.83,0.5,2,7,4,0.25,1,0,0,0,1,288,1,0
107,1,22.25,9.0,2,6,4,0.085,0,0,0,0,2,0,1,0
472,1,23.25,1.5,2,11,4,2.375,1,1,3,1,2,0,583,1
606,1,39.17,2.5,1,3,8,10.0,0,0,0,1,1,200,1,0
679,1,48.58,0.205,1,4,4,0.25,1,1,11,0,2,380,2733,1
595,1,22.0,7.835,1,3,5,0.165,0,0,0,1,2,184,1,0
284,1,31.58,0.75,1,6,4,3.5,0,0,0,1,2,320,1,0
5,0,15.83,0.585,2,8,8,1.5,1,1,2,0,2,100,1,1
583,1,32.08,4.0,2,7,4,2.5,1,0,0,1,2,360,1,1
286,1,65.42,11.0,2,10,9,20.0,1,1,7,1,2,22,1,1
159,1,47.83,4.165,2,14,5,0.085,0,0,0,1,2,520,1,0
684,1,43.0,0.29,1,13,8,1.75,1,1,8,0,2,100,376,1
662,1,39.92,0.54,1,6,4,0.5,1,1,3,0,2,200,1001,1
672,0,17.92,10.21,2,1,1,0.0,0,0,0,0,2,0,51,0
