,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,y
441,1,36.67,2.0,2,3,4,0.25,0,0,0,1,2,221,1,0
179,1,42.17,5.04,2,11,8,12.75,1,0,0,1,2,92,1,1
0,1,22.08,11.46,2,4,4,1.585,0,0,0,1,2,100,1213,0
46,0,24.5,1.75,1,8,4,0.165,0,0,0,0,2,132,1,0
171,0,18.92,9.25,1,8,4,1.0,1,1,4,1,2,80,501,1
552,0,41.58,1.04,2,6,4,0.665,0,0,0,0,2,240,238,0
360,1,67.75,5.5,2,10,9,13.0,1,1,1,1,2,0,1,1
107,1,22.25,9.0,2,6,4,0.085,0,0,0,0,2,0,1,0
489,1,39.83,0.5,2,7,4,0.25,1,0,0,0,1,288,1,0
597,1,34.92,2.5,2,9,4,0.0,1,0,0,1,2,239,201,1
223,1,29.58,4.75,2,7,4,2.0,0,1,1,1,2,460,69,0
481,1,21.5,9.75,2,8,4,0.25,1,0,0,0,2,140,1,0
102,1,27.67,13.75,2,9,4,5.75,1,0,0,1,2,487,501,1
108,0,49.83,13.585,2,4,8,8.5,1,0,0,1,2,0,1,1
213,1,25.0,12.0,2,4,4,2.25,1,1,2,1,2,120,6,0
590,1,37.33,2.665,2,13,4,0.165,0,0,0,1,2,0,502,0
683,0,48.17,1.335,2,3,7,0.335,0,0,0,0,2,0,121,0
246,0,16.0,0.165,2,6,4,1.0,0,1,2,1,2,320,2,0
401,1,27.0,1.5,1,9,4,0.375,1,0,0,1,2,260,1066,1
495,0,33.67,0.375,2,13,4,0.375,0,0,0,0,2,300,45,1
125,1,22.0,0.79,2,9,4,0.29,0,1,1,0,2,420,284,0
529,0,17.92,0.54,2,8,4,1.75,0,1,1,1,2,80,6,0
482,1,20.42,0.0,2,8,4,0.0,0,0,0,0,3,184,1,0
425,1,31.42,15.5,2,8,4,0.5,1,0,0,0,2,120,1,0
618,1,21.58,0.79,1,13,4,0.665,0,0,0,0,2,160,1,0
224,1,43.17,2.25,2,3,5,0.75,1,0,0,0,2,560,1,0
26,1,22.5,0.125,1,4,4,0.125,0,0,0,0,2,200,71,0
468,1,48.58,6.5,2,11,8,6.0,1,0,0,1,2,350,1,1
293,1,21.92,0.54,1,14,4,0.04,1,1,1,1,2,840,60,1
3,0,21.67,11.5,1,5,3,0.0,1,1,11,1,2,0,1,1
134,1,40.92,0.835,2,1,1,0.0,1,0,0,0,2,130,2,0
186,1,37.17,4.0,2,8,5,5.0,1,0,0,1,1,280,1,0
480,0,25.0,12.33,2,13,8,3.5,1,1,6,0,2,400,459,1
579,1,40.58,1.5,2,3,5,0.0,0,0,0,0,1,300,1,0
546,1,49.17,2.29,2,1,1,0.29,0,0,0,0,2,200,4,0
623,1,23.58,1.79,2,8,4,0.54,0,0,0,1,2,136,2,0
225,1,28.75,1.165,2,4,4,0.5,1,0,0,0,1,280,1,0
567,1,34.25,1.75,2,9,5,0.25,1,0,0,1,2,163,1,0
358,1,27.25,1.665,2,13,8,5.085,1,1,9,0,2,399,828,1
443,1,29.92,1.835,2,8,8,4.335,1,0,0,0,2,260,201,1
640,1,23.5,2.75,2,1,1,4.5,0,0,0,0,2,160,26,0
503,1,57.42,8.5,2,10,8,7.0,1,1,3,0,2,0,1,1
419,0,32.33,0.54,2,13,4,0.04,1,0,0,0,2,440,11178,1
432,0,30.58,10.665,2,11,8,0.085,0,1,12,1,2,129,4,0
564,1,56.58,18.5,2,2,5,15.0,1,1,17,1,2,0,1,1
521,0,18.25,10.0,2,9,4,1.0,0,1,1,0,2,120,2,0
112,1,27.83,4.0,1,3,8,5.75,1,1,2,1,2,75,1,0
466,0,65.17,14.0,2,1,1,0.0,1,1,11,1,2,0,1401,1
20,0,28.17,0.585,2,6,4,0.04,0,0,0,0,2,260,1005,0
65,1,42.0,9.79,2,14,8,7.96,1,1,8,0,2,0,1,1
298,1,39.17,1.71,2,14,4,0.125,1,1,5,1,2,480,1,1
126,0,58.33,10.0,2,11,4,4.0,1,1,14,0,2,0,1603,1
505,1,19.33,9.5,2,11,4,1.0,1,0,0,1,2,60,401,1
569,1,30.58,2.71,1,7,4,0.125,0,0,0,1,1,80,1,0
331,1,20.17,5.625,2,9,4,1.71,1,0,0,0,1,120,1,1
580,1,23.92,0.585,1,13,8,0.125,0,0,0,0,2,240,2,0
137,1,39.25,9.5,2,7,4,6.5,1,1,14,0,2,240,4608,1
520,1,42.08,1.04,2,9,4,5.0,1,1,6,1,2,500,10001,1
7,0,58.67,4.46,2,11,8,3.04,1,1,6,0,2,43,561,1
634,1,18.58,10.29,2,1,1,0.415,0,0,0,0,2,80,1,0
309,1,25.67,3.25,2,8,8,2.29,0,1,1,1,2,416,22,0
458,1,34.42,1.335,2,3,5,0.125,0,0,0,1,2,440,4501,0
185,1,30.67,2.5,2,13,8,2.25,0,0,0,1,1,340,1,0
654,1,31.57,0.375,2,2,4,0.875,1,0,0,1,1,928,1,0
153,1,18.83,0.415,1,8,4,0.165,0,1,1,0,2,200,2,0
54,1,27.58,3.25,1,11,8,5.085,0,1,2,1,2,369,2,0
30,1,27.0,0.75,2,8,8,4.25,1,1,3,1,2,312,151,1
642,1,35.17,25.125,2,14,8,1.625,1,1,1,1,2,515,501,1
100,0,39.08,4.0,2,8,4,3.0,0,0,0,0,2,480,1,0
477,0,20.83,8.5,2,8,4,0.165,0,0,0,0,2,0,352,0
570,1,27.67,0.75,2,11,8,0.165,0,0,0,1,2,220,252,0
655,0,25.25,12.5,2,2,4,1.0,0,0,0,1,2,180,1063,0
237,0,69.5,6.0,2,1,1,0.0,0,0,0,0,1,0,1,0
56,1,40.0,6.5,2,6,5,3.5,1,1,1,0,2,0,501,1
60,1,43.17,5.0,2,3,5,2.25,0,0,0,1,2,141,1,0
422,1,29.83,1.25,1,4,4,0.25,0,0,0,0,2,224,1,0
262,0,21.75,11.75,2,8,4,0.25,0,0,0,1,2,180,1,0
366,1,31.08,1.5,1,9,4,0.04,0,0,0,0,1,160,1,0
264,1,36.33,2.125,1,9,4,0.085,1,1,1,0,2,50,1188,1
644,1,18.67,5.0,2,11,4,0.375,1,1,2,0,2,0,39,0
385,1,28.92,15.0,2,8,8,5.335,1,1,11,0,2,0,2284,1
208,1,29.42,1.25,2,8,8,0.25,0,1,2,1,2,400,109,0
399,0,29.5,1.085,1,14,4,1.0,0,0,0,0,2,280,14,0
470,1,20.17,9.25,2,8,4,1.665,1,1,3,1,2,40,29,1
167,0,22.5,8.46,1,14,4,2.46,0,0,0,0,2,164,1,1
38,0,47.75,8.0,2,8,4,7.875,1,1,6,1,2,0,1261,1
356,1,31.57,0.5,2,8,5,0.835,1,0,0,1,1,320,1,0
566,0,44.33,0.0,2,8,4,2.5,1,0,0,0,2,0,1,1
300,1,39.0,5.0,2,13,4,3.5,1,1,10,1,2,0,1,1
426,1,22.83,3.0,2,7,4,1.29,1,1,1,0,2,260,801,1
417,1,23.17,11.125,2,14,8,0.46,1,1,1,0,2,100,1,1
588,1,37.42,2.04,2,9,4,0.04,1,0,0,1,2,400,5801,1
163,1,34.5,4.04,1,3,5,8.5,1,1,7,1,2,195,1,1
124,0,31.25,3.75,2,13,8,0.625,1,1,9,1,2,181,1,1
154,1,52.5,6.5,2,4,4,6.29,1,1,15,0,2,0,11203,1
336,0,36.0,1.0,2,8,4,2.0,1,1,11,0,2,0,457,1
59,1,56.75,12.25,2,7,4,1.25,1,1,4,1,2,200,1,1
415,0,30.25,5.5,2,4,4,5.5,0,0,0,1,1,100,1,0
304,0,15.83,7.625,2,11,4,0.125,0,1,1,1,2,0,161,0
648,1,28.75,1.5,1,8,4,1.5,1,0,0,1,2,0,226,0
664,1,20.0,0.0,2,2,4,0.5,0,0,0,0,2,144,1,0
343,1,39.92,6.21,2,11,4,0.04,1,1,1,0,2,200,301,1
506,0,21.92,11.665,2,4,8,0.085,0,0,0,0,2,320,6,0
311,0,49.0,1.5,2,5,3,0.0,1,0,0,1,2,100,28,0
630,1,32.0,1.75,1,10,8,0.04,1,0,0,1,2,393,1,1
158,1,22.67,1.585,1,9,4,3.085,1,1,6,0,2,80,1,1
51,1,21.08,4.125,1,3,8,0.04,0,0,0,0,2,140,101,0
483,0,25.25,13.5,1,1,1,2.0,0,1,1,1,2,200,2,0
545,1,17.08,0.085,1,8,4,0.04,0,0,0,0,2,140,723,0
361,0,18.83,9.5,2,9,4,1.625,1,1,6,1,2,40,601,1
420,1,23.92,1.5,2,2,8,1.875,1,1,6,0,2,200,328,1
591,1,31.33,19.5,2,8,4,7.0,1,1,16,0,2,0,5001,1
219,1,24.17,0.875,2,11,4,4.625,1,1,2,1,2,520,2001,1
308,0,22.67,0.75,2,8,4,2.0,0,1,2,1,2,200,395,0
74,1,40.25,21.5,2,10,9,20.0,1,1,11,0,2,0,1201,1
282,1,44.25,0.5,2,7,4,10.75,1,0,0,0,1,400,1,0
433,1,27.83,1.54,2,9,4,3.75,1,1,5,1,2,100,4,1
4,1,20.17,8.17,2,6,4,1.96,1,1,14,0,2,60,159,1
556,0,24.5,2.415,1,8,4,0.0,0,0,0,0,2,120,1,0
535,0,20.67,1.835,2,11,4,2.085,1,1,5,0,2,220,2504,1
409,1,25.25,1.0,2,6,4,0.5,0,0,0,0,2,200,1,0
485,1,26.67,1.75,1,8,4,1.0,1,1,5,1,2,160,5778,1
5,0,15.83,0.585,2,8,8,1.5,1,1,2,0,2,100,1,1
141,0,22.25,1.25,1,1,1,3.25,0,0,0,0,2,280,1,0
497,0,28.67,1.04,2,8,4,2.5,1,1,5,1,2,300,1431,1
135,0,38.33,4.415,2,8,4,0.125,0,0,0,0,2,160,1,0
668,0,32.25,1.5,2,8,4,0.25,0,0,0,1,2,372,123,0
378,0,31.75,3.0,1,5,3,0.0,0,0,0,0,2,160,21,0
620,1,26.92,2.25,2,3,5,0.5,0,0,0,1,2,640,4001,0
22,1,41.17,1.335,2,2,4,0.165,0,0,0,0,2,168,1,0
625,1,25.67,2.21,1,6,4,4.0,1,0,0,0,2,188,1,0
276,0,57.08,0.335,2,3,5,1.0,1,0,0,1,2,252,2198,0
284,1,31.58,0.75,1,6,4,3.5,0,0,0,1,2,320,1,0
270,0,19.17,5.415,2,3,8,0.29,0,0,0,0,2,80,485,0
661,0,22.5,0.415,2,3,4,0.335,0,0,0,1,1,144,1,0
281,1,18.33,1.21,1,10,2,0.0,0,0,0,0,2,100,1,0
220,0,30.5,6.5,2,8,5,4.0,1,1,7,1,2,0,3066,1
626,0,28.58,1.665,2,11,4,2.415,1,0,0,1,2,440,1,0
320,1,21.0,4.79,1,9,4,2.25,1,1,1,1,2,80,301,1
467,1,30.08,1.04,1,3,5,0.5,1,1,10,1,2,132,29,0
120,1,40.58,5.0,2,8,4,5.0,1,1,7,0,2,0,3066,1
81,0,35.17,3.75,2,1,1,0.0,0,1,6,0,2,0,201,0
677,1,23.0,0.75,2,7,4,0.5,1,0,0,1,1,320,1,0
13,1,34.92,5.0,2,14,8,7.5,1,1,6,1,2,0,1001,1
404,1,18.83,0.0,2,11,4,0.665,0,0,0,0,2,160,2,0
670,0,37.75,5.5,2,11,4,0.125,1,0,0,1,2,228,1,1
663,0,26.08,8.665,2,6,4,1.415,1,0,0,0,2,160,151,1
160,1,34.08,2.5,2,8,4,1.0,0,0,0,0,2,460,17,0
674,0,25.75,0.5,2,8,8,0.875,1,0,0,1,2,491,1,1
238,1,35.58,0.75,2,4,4,1.5,0,0,0,1,2,231,1,0
379,1,19.42,6.5,2,9,8,1.46,1,1,7,0,2,80,2955,1
500,1,17.5,22.0,3,1,7,0.0,0,0,0,1,3,450,100001,1
542,1,44.0,2.0,2,7,4,1.75,1,1,2,1,2,0,16,1
476,1,16.92,0.335,1,4,4,0.29,0,0,0,0,1,200,1,0
517,0,21.25,2.335,2,3,5,0.5,1,1,4,0,1,80,1,1
195,1,25.0,11.25,2,8,4,2.5,1,1,17,0,2,200,1209,1
191,1,29.25,14.79,2,6,4,5.04,1,1,5,1,2,168,1,1
116,0,20.75,10.335,2,13,8,0.335,1,1,1,1,2,80,51,1
576,0,33.17,2.25,1,13,4,3.5,0,0,0,1,2,200,142,0
568,0,45.0,4.585,2,4,8,1.0,0,0,0,1,1,240,1,0
164,1,42.75,3.0,2,3,5,1.0,1,0,0,0,2,0,201,0
106,1,27.67,2.0,2,14,8,1.0,1,1,4,0,2,140,7545,1
16,1,29.58,4.5,2,9,4,7.5,1,1,2,1,2,330,1,1
63,0,40.83,3.5,2,3,5,0.5,0,0,0,0,1,1160,1,0
384,0,41.17,6.5,2,11,4,0.5,1,1,3,1,2,145,1,1
105,0,25.0,0.875,2,14,8,1.04,1,0,0,1,2,160,5861,1
473,1,32.25,14.0,1,1,1,0.0,0,1,2,0,2,160,2,0
651,1,23.5,3.165,1,4,4,0.415,0,1,1,1,2,280,81,0
329,1,52.42,1.5,2,2,4,3.75,0,0,0,1,2,0,351,0
345,0,23.42,0.79,1,11,4,1.5,1,1,2,1,2,80,401,1
605,0,52.17,0.0,1,1,1,0.0,0,0,0,0,2,0,1,0
405,0,28.75,3.75,2,8,4,1.085,1,1,1,1,2,371,1,1
516,0,20.42,7.5,2,4,4,1.5,1,1,1,0,2,160,235,1
93,1,36.25,5.0,2,8,5,2.5,1,1,6,0,2,0,368,1
603,0,26.92,13.5,2,11,8,5.0,1,1,2,0,2,0,5001,1
83,1,39.92,5.0,2,3,5,0.21,0,0,0,0,2,550,1,0
585,1,34.17,9.17,2,8,4,4.5,1,1,12,1,2,0,222,1
348,0,36.75,5.125,2,10,4,5.0,1,0,0,1,2,0,4001,1
671,1,22.67,2.54,1,8,8,2.585,1,0,0,0,2,0,1,1
198,0,16.08,0.335,2,1,1,0.0,0,1,1,0,2,160,127,0
145,0,68.67,15.0,2,10,9,0.0,1,1,14,0,2,0,3377,1
414,0,20.5,11.835,2,8,8,6.0,1,0,0,0,2,340,1,1
150,1,23.17,0.0,2,8,4,0.0,0,0,0,0,3,184,1,1
39,0,47.42,3.0,2,14,4,13.875,1,1,2,1,2,519,1705,1
498,0,18.08,0.375,3,13,1,10.0,0,0,0,1,1,300,1,1
496,1,25.75,0.75,2,8,5,0.25,1,0,0,0,2,349,24,1
631,1,48.08,3.75,2,3,5,1.0,0,0,0,0,2,100,3,0
533,1,29.67,1.415,2,9,8,0.75,1,1,1,0,2,240,101,1
322,1,54.58,9.415,2,1,1,14.415,1,1,11,1,2,30,301,1
253,1,33.67,1.25,2,9,4,1.165,0,0,0,0,2,120,1,0
619,1,28.25,5.125,2,14,4,4.75,1,1,2,0,2,420,8,1
494,1,29.67,0.75,1,8,4,0.04,0,0,0,0,2,240,1,0
678,1,25.67,0.29,1,8,4,1.5,0,0,0,1,2,160,1,0
357,1,16.0,3.125,2,9,4,0.085,0,1,1,0,2,0,7,0
69,1,27.25,1.585,2,13,8,1.835,1,1,12,1,2,583,714,1
2,0,29.58,1.75,1,4,4,1.25,0,0,0,1,2,280,1,0
340,1,32.42,3.0,2,2,4,0.165,0,0,0,1,2,120,1,0
221,1,20.0,7.0,2,8,4,0.5,0,0,0,0,2,0,1,0
645,1,30.33,0.5,2,2,8,0.085,0,0,0,1,1,252,1,0
146,1,76.75,22.29,2,10,9,12.75,1,1,1,1,2,0,110,1
289,0,36.75,4.71,2,1,1,0.0,0,0,0,0,2,160,1,0
241,1,35.17,2.5,2,4,4,4.5,1,1,7,0,2,150,1271,1
29,1,23.08,2.5,2,8,4,1.085,1,1,11,1,2,60,2185,1
571,1,19.42,7.25,2,7,4,0.04,0,1,1,0,2,100,2,0
114,1,33.58,0.25,2,3,5,4.0,0,0,0,1,1,420,1,0
471,1,48.17,7.625,2,9,8,15.5,1,1,12,0,2,0,791,1
685,1,31.57,10.5,2,14,4,6.5,1,0,0,0,2,0,1,1
558,1,69.17,9.0,2,1,1,4.0,0,1,1,0,2,70,7,0
647,1,26.17,0.835,2,13,4,1.165,0,0,0,0,2,100,1,0
176,0,56.83,4.25,1,1,1,5.0,0,0,0,1,2,0,5,0
609,1,19.17,9.5,2,9,4,1.5,1,0,0,0,2,120,2207,1
372,1,50.75,0.585,2,1,1,0.0,0,0,0,0,2,145,1,0
168,1,17.92,0.205,2,6,4,0.04,0,0,0,0,2,280,751,0
347,0,40.33,7.54,1,11,8,8.0,1,1,14,0,2,0,2301,1
376,1,28.25,0.875,2,7,4,0.96,1,1,3,1,2,396,1,1
540,0,22.67,0.79,2,3,4,0.085,0,0,0,0,2,144,1,0
687,0,18.83,9.54,2,6,4,0.085,1,0,0,0,2,100,1,1
592,1,36.08,2.54,2,1,1,0.0,0,0,0,0,2,0,1001,0
531,0,22.67,0.335,2,11,4,0.75,0,0,0,0,1,160,1,0
189,0,23.0,1.835,2,5,3,0.0,0,1,1,0,2,200,54,0
136,1,19.58,0.585,2,1,1,0.0,0,1,3,0,2,350,770,0
446,1,51.42,0.04,2,14,8,0.04,1,0,0,0,2,0,3001,1
582,0,28.5,3.04,1,14,8,2.54,1,1,1,0,2,70,1,1
254,0,40.83,10.0,2,11,8,1.75,1,0,0,0,2,29,838,1
437,1,32.67,5.5,2,11,8,5.5,1,1,12,1,2,408,1001,1
382,1,44.83,7.0,1,8,4,1.625,0,0,0,0,2,160,3,0
612,1,26.17,0.25,2,3,5,0.0,1,0,0,1,2,0,1,1
493,0,25.0,11.0,1,6,4,4.5,1,0,0,0,2,120,1,0
653,1,54.33,6.75,2,8,8,2.625,1,1,11,1,2,0,285,1
610,1,39.5,4.25,2,8,5,6.5,1,1,16,0,2,117,1211,1
587,0,38.25,6.0,2,4,4,1.0,1,0,0,1,2,0,1,1
255,1,20.42,1.835,2,8,4,2.25,1,1,1,0,2,100,151,1
232,1,40.92,2.25,1,14,8,10.0,1,0,0,1,2,176,1,0
133,0,26.5,2.71,1,8,4,0.085,0,0,0,0,1,80,1,0
33,1,23.08,11.5,2,9,8,2.125,1,1,11,1,2,290,285,1
88,1,34.17,5.25,2,9,4,0.085,0,0,0,1,2,290,7,1
418,0,31.57,11.25,2,1,1,0.0,0,0,0,0,2,184,5201,0
290,1,32.33,7.5,2,10,5,1.585,1,0,0,1,1,420,1,0
44,1,23.75,0.415,1,8,4,0.04,0,1,2,0,2,128,7,0
353,1,34.08,6.5,2,6,4,0.125,1,0,0,1,2,443,1,0
341,1,19.42,1.5,1,13,4,2.0,1,0,0,1,2,100,21,0
61,0,23.75,0.71,2,9,4,0.25,0,1,1,1,2,240,5,0
662,1,39.92,0.54,1,6,4,0.5,1,1,3,0,2,200,1001,1
199,1,32.92,2.5,2,6,4,1.75,0,1,2,1,2,720,1,0
429,1,36.33,3.79,2,9,4,1.165,1,0,0,1,2,200,1,0
27,1,33.17,3.04,1,8,8,2.04,1,1,1,1,2,180,18028,1
394,0,25.58,0.0,2,8,4,0.0,0,0,0,0,3,184,1,1
660,1,26.67,2.71,1,13,4,5.25,1,1,1,0,2,211,1,1
541,1,26.67,14.585,2,3,5,0.0,0,0,0,1,2,178,1,0
259,1,35.0,3.375,2,8,8,8.29,0,0,0,1,2,0,1,0
364,1,30.75,1.585,2,2,4,0.585,0,0,0,1,1,0,1,0
434,1,54.83,15.5,2,10,9,0.0,1,1,20,0,2,152,131,0
218,1,19.5,0.29,2,4,4,0.29,0,0,0,0,2,280,365,0
302,1,32.75,2.335,2,2,8,5.75,0,0,0,1,2,292,1,0
608,0,27.67,2.04,2,9,4,0.25,0,0,0,1,2,180,51,0
407,0,33.25,3.0,1,6,4,2.0,0,0,0,0,2,180,1,0
297,1,38.42,0.705,2,8,4,0.375,0,1,2,0,2,225,501,0
73,1,28.25,5.04,1,8,5,1.5,1,1,8,1,2,144,8,1
393,0,19.17,8.585,2,13,8,0.75,1,1,7,0,2,96,1,1
593,1,20.5,2.415,2,8,4,2.0,1,1,11,1,2,200,3001,1
577,0,52.5,7.0,2,6,8,3.0,0,0,0,0,2,0,1,0
583,1,32.08,4.0,2,7,4,2.5,1,0,0,1,2,360,1,1
217,1,36.17,5.5,2,3,5,5.0,0,0,0,0,2,210,688,0
572,0,41.33,1.0,2,3,5,2.25,1,0,0,1,2,0,301,1
421,1,36.75,0.125,1,8,4,1.5,0,0,0,1,2,232,114,1
138,1,25.75,0.5,2,8,4,1.46,1,1,5,1,2,312,1,1
212,1,34.0,5.5,1,8,4,1.5,0,0,0,1,2,60,1,0
584,1,21.17,0.875,1,8,8,0.25,0,0,0,0,2,280,205,0
616,0,20.08,1.25,2,8,4,0.0,0,0,0,0,2,0,1,0
635,1,21.67,1.165,1,4,4,2.5,1,1,1,0,2,180,21,0
234,0,64.08,0.165,2,1,1,0.0,1,1,1,0,2,232,101,1
67,1,21.5,11.5,2,3,4,0.5,1,0,0,1,2,100,69,0
24,1,19.5,9.585,2,6,4,0.79,0,0,0,0,2,80,351,0
381,1,17.08,3.29,2,3,4,0.335,0,0,0,1,2,140,3,0
216,1,33.67,2.165,2,8,4,1.5,0,0,0,0,3,120,1,0
129,1,21.0,3.0,1,2,4,1.085,1,1,8,1,2,160,2,1
349,1,31.0,2.085,2,8,4,0.085,0,0,0,0,2,300,1,0
111,1,47.33,6.5,2,8,4,1.0,0,0,0,1,2,0,229,0
166,1,23.08,2.5,2,1,1,0.085,0,0,0,1,2,100,4209,0
207,0,40.33,8.125,1,4,4,0.165,0,1,2,0,2,184,19,0
438,1,30.17,0.5,2,8,4,1.75,1,1,11,0,2,32,541,1
